isbn,name,writer,company,pyear,KDC,img
8809270747880,빅,"엄상현, 홍진욱, 윤세웅, 임채헌, 사문영, 김연우 (목소리), 트레버 월 (감독)",비디오여행,2016,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270748481,슬레이브 워,"쿠람 H. 알라비, 아이만 자말 (감독), 아데웰 아킨누오예 아바제, 이안 맥셰인, 차이나 앤 맥클레인 (출연)",비디오여행,2018,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809270749709,레오나르도 다빈치,"세르지오 만피오 (감독), 김명준, 사문영, 이경태, 민아 (목소리)",루커스엔터,2019,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274080617,니모를 찾아서,앤드류 스탠튼 감독,NA,2005,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274081867,뉴문:트와일라잇-두번째 신화,크리스 웨이츠 감독,NA,2010,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274082192,토이스토리,존 라쎄터 감독,NA,2010,688.6942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274082208,토이스토리,존 라쎄터 감독,NA,2010,688.6942,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274082482,인크레더블 - 아웃케이스 없음,"홀리 헌터, 사무엘 L. 잭슨, 크레이그 T. 넬슨 (출연), 브래드 버드 (감독)",월트디즈니,2005,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274082932,월-E (2disc),앤드류 스탠튼 감독,월트디즈니,2010,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274082956,라따뚜이 - 할인행사,"브래드 버드 감독, 피터 오툴 외 목소리",브에나비스타,2009,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274083175,토이 스토리,리 언크리치 감독,NA,2010,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274084479,트론 : 새로운 시작,"조셉 코신스키 감독, 개럿 헤들런드 외 출연",월트디즈니,2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274084516,라푼젤,로이 콘리,월트 디즈니,2011,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274085179,로보카 폴리 : 1탄,엄준영 감독,EBS교육방송,2011,688.6911,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274085902,고지전 (2disc),"장훈 감독, 고수 외 출연",KD미디어(케이디미디어),2011,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274085926,마당을 나온 암탉,오성윤 감독,NA,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274086190,포카혼타스,"마이크 가브리엘 외 감독, 멜 깁슨 외 목소리",월트디즈니,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
