rank,isbn,name,gender,age
14,9791186560785,수학이 필요한 순간 :인간은 얼마나 깊게 생각할 수 있는가,female,14_19
16,9788936434267,아몬드 (양장 특별 한정판),female,14_19
16,9791157107223,너의 췌장을 먹고 싶어,female,14_19
16,9791160560510,열두 발자국,female,14_19
19,9788936433871,두근두근 내 인생 :김애란 장편소설,female,14_19
19,9788952773326,위험한 과학책 :지구 생활자들의 엉뚱한 질문에 대한 과학적 답변,female,14_19
1,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",female,20
1,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,female,20
3,9791196067694,12가지 인생의 법칙 :혼돈의 해독제,female,20
4,9788972757573,라플라스의 마녀 :히가시노 게이고 장편소설,female,20
5,9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,female,20
5,9791158510619,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,female,20
7,9788954608640,1Q84 :무라카미 하루키 장편소설,female,20
8,9788984373617,아가씨와 밤 :기욤 뮈소 장편소설,female,20
9,9788996991342,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,female,20
10,9788954646123,기사단장 죽이기 :무라카미 하루키 장편소설,female,20
10,9788994702346,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,female,20
10,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,female,20
10,9791188248674,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다",female,20
14,9788954646130,기사단장 죽이기 :무라카미 하루키 장편소설,female,20
14,9788994120997,지적 대화를 위한 넓고 얕은 지식,female,20
14,9791196376406,(한권으로 정리하는) 4차산업혁명,female,20
17,9788936433598,채식주의자:한강 연작소설,female,20
17,9788954637756,개인주의자 선언 :판사 문유석의 일상유감,female,20
17,9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다,female,20
20,9791161903538,연애의 행방,female,20
1,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,female,30
